LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.44915887513508784
Amygdala;DICE;STD;0.042384785188143176
Amygdala;HDRFDST;MEAN;18.259817135658693
Amygdala;HDRFDST;STD;1.6367889822165063
GreyMatter;DICE;MEAN;0.7109692161981489
GreyMatter;DICE;STD;0.008174734413580813
GreyMatter;HDRFDST;MEAN;2.729042192399328
GreyMatter;HDRFDST;STD;0.6725538730126139
Hippocampus;DICE;MEAN;0.3677411658391375
Hippocampus;DICE;STD;0.013653489811764346
Hippocampus;HDRFDST;MEAN;18.64044245773249
Hippocampus;HDRFDST;STD;0.5778451176258097
Thalamus;DICE;MEAN;0.7182117459214586
Thalamus;DICE;STD;0.025576852501799627
Thalamus;HDRFDST;MEAN;20.26101316676702
Thalamus;HDRFDST;STD;6.495486544985955
WhiteMatter;DICE;MEAN;0.8205616530476515
WhiteMatter;DICE;STD;0.019344668402648518
WhiteMatter;HDRFDST;MEAN;2.8408458678287896
WhiteMatter;HDRFDST;STD;0.35999271553753914
