Amygdala;Amygdala-PP;GreyMatter;GreyMatter-PP;Hippocampus;Hippocampus-PP;Thalamus;Thalamus-PP;WhiteMatter;WhiteMatter-PP
0.494309892;0.62421942;0.723516134;0.700400241;0.570443949;0.694689715;0.776593247;0.830017026;0.817264715;0.83194376
0.463200422;0.607085714;0.721883182;0.704511694;0.540459484;0.655353563;0.727798705;0.783611218;0.829136246;0.843560428
0.570580297;0.688106399;0.729920856;0.705602369;0.502746836;0.615350356;0.723315836;0.778001088;0.815609073;0.833159697
0.551737054;0.686678301;0.733988484;0.714944076;0.520447217;0.666198666;0.743086456;0.802201272;0.834858504;0.848726292
0.520559631;0.630709731;0.71837067;0.69905496;0.518368089;0.654504869;0.695999348;0.759722037;0.848923496;0.858217665
0.595815085;0.715722229;0.735852442;0.707318408;0.546582499;0.706288743;0.763974109;0.834778896;0.835499329;0.846819959
0.60180213;0.707927369;0.738159417;0.717461987;0.556609347;0.689668466;0.762203963;0.821184456;0.807591583;0.831582812
0.536634022;0.677842049;0.722317768;0.705832415;0.530757193;0.670338017;0.709572653;0.771194411;0.846568627;0.861255134
0.552883276;0.684353741;0.71697843;0.698755123;0.536034819;0.677565988;0.774969763;0.828463973;0.832664385;0.84380509
0.63960396;0.75482394;0.713842165;0.686491252;0.567238913;0.710152116;0.795910306;0.853706194;0.781634468;0.810481035
