Amygdala;Amygdala-PP;GreyMatter;GreyMatter-PP;Hippocampus;Hippocampus-PP;Thalamus;Thalamus-PP;WhiteMatter;WhiteMatter-PP
0.535654782;0.674782977;0.731687747;0.713058513;0.573890938;0.709667404;0.743110021;0.797720393;0.829537349;0.8396953
0.484876687;0.631072824;0.729177424;0.711235209;0.562082348;0.690058902;0.732719924;0.788086905;0.841109364;0.851926601
0.577011494;0.695032397;0.736467055;0.714632978;0.532615273;0.664093249;0.742758053;0.788753945;0.822641349;0.836296099
0.51324298;0.642446996;0.725279237;0.709236963;0.538207235;0.681938115;0.779002468;0.831851124;0.832012645;0.846685167
0.552313635;0.679591626;0.718097654;0.697204387;0.49372238;0.608868347;0.737619088;0.790632646;0.833955368;0.848100653
0.531008997;0.629683698;0.722848235;0.704677065;0.467302023;0.565042217;0.716586391;0.765528589;0.815894616;0.833143032
0.550898204;0.699015793;0.718243606;0.692537898;0.517479191;0.6567584;0.753351974;0.807632825;0.84813971;0.855023527
0.537362542;0.682743363;0.711474422;0.682110777;0.568572715;0.716242512;0.753077185;0.822196601;0.790344703;0.81434564
0.497659774;0.633747547;0.710318336;0.690938518;0.525597492;0.671935106;0.735126759;0.802250889;0.84176897;0.853177949
0.501810282;0.639722061;0.727835882;0.715098044;0.557580336;0.695493783;0.769154802;0.816933034;0.826103484;0.841903296
