Data_1;Data_1_PP;Data_2;Data_2_PP;Data_3;Data_3_PP;Data_4;Data_4_PP;Data_5;Data_5_PP
0.552712577;0.677746889;0.540258126;0.648789836;0.531949576;0.634084441;0.528183938;0.660783928;0.5343025;0.654682601
0.725482955;0.704037252;0.720812604;0.700024684;0.725067796;0.706001921;0.72314296;0.703073035;0.731545141;0.710673312
0.538968835;0.67401105;0.540657601;0.678650671;0.539375637;0.65568099;0.533704993;0.666009804;0.534523379;0.679349292
0.747342439;0.806288057;0.760102829;0.812617109;0.756770016;0.808785891;0.746250666;0.801158695;0.75136007;0.810354072
0.824975043;0.840955187;0.828995626;0.841907138;0.834216821;0.848285639;0.828150756;0.842029726;0.825919061;0.840824187
