Overall;Overall-PP
0.494309892;0.62421942
0.463200422;0.607085714
0.570580297;0.688106399
0.551737054;0.686678301
0.520559631;0.630709731
0.595815085;0.715722229
0.60180213;0.707927369
0.536634022;0.677842049
0.552883276;0.684353741
0.63960396;0.75482394
0.723516134;0.700400241
0.721883182;0.704511694
0.729920856;0.705602369
0.733988484;0.714944076
0.71837067;0.69905496
0.735852442;0.707318408
0.738159417;0.717461987
0.722317768;0.705832415
0.71697843;0.698755123
0.713842165;0.686491252
0.570443949;0.694689715
0.540459484;0.655353563
0.502746836;0.615350356
0.520447217;0.666198666
0.518368089;0.654504869
0.546582499;0.706288743
0.556609347;0.689668466
0.530757193;0.670338017
0.536034819;0.677565988
0.567238913;0.710152116
0.776593247;0.830017026
0.727798705;0.783611218
0.723315836;0.778001088
0.743086456;0.802201272
0.695999348;0.759722037
0.763974109;0.834778896
0.762203963;0.821184456
0.709572653;0.771194411
0.774969763;0.828463973
0.795910306;0.853706194
0.817264715;0.83194376
0.829136246;0.843560428
0.815609073;0.833159697
0.834858504;0.848726292
0.848923496;0.858217665
0.835499329;0.846819959
0.807591583;0.831582812
0.846568627;0.861255134
0.832664385;0.84380509
0.781634468;0.810481035
0.532187449;0.615705615
0.581783583;0.666055606
0.564384566;0.687841302
0.56004828;0.679393361
0.548559232;0.663133989
0.514653324;0.633452869
0.510214864;0.62383353
0.547831736;0.647429069
0.507789318;0.622282
0.535128909;0.648771022
0.724060293;0.704470703
0.715869666;0.696187471
0.720120171;0.695440393
0.720889858;0.697836143
0.712137351;0.685384292
0.736571296;0.716302566
0.711870507;0.691125395
0.711084906;0.692031243
0.728781776;0.713293925
0.72674022;0.708174709
0.484128646;0.588766852
0.545981746;0.673515513
0.53786631;0.683428662
0.542473136;0.70408251
0.595014406;0.729569497
0.594414169;0.734171854
0.54253481;0.684012002
0.443112337;0.580826627
0.583366103;0.720739053
0.537684343;0.687394145
0.728398766;0.772244599
0.764493103;0.815534486
0.762185456;0.812243625
0.794496873;0.860006982
0.751512131;0.810784266
0.790535032;0.843174952
0.757469288;0.816192501
0.735650497;0.779013173
0.77957726;0.82174095
0.736709883;0.795235559
0.81272948;0.828853695
0.840961308;0.848382259
0.845421631;0.852148207
0.818984699;0.833490793
0.78749503;0.811492652
0.839269727;0.849007083
0.839252104;0.850176041
0.861534563;0.866023276
0.824647428;0.839504079
0.819660293;0.839993296
0.546850998;0.659533272
0.519368991;0.553162236
0.503110675;0.629355226
0.526614383;0.633702927
0.579772463;0.671968191
0.493924098;0.625043926
0.523787782;0.631887838
0.492129389;0.588223033
0.564076519;0.653187251
0.569860465;0.694780505
0.731864084;0.714947018
0.728636569;0.701799764
0.728692659;0.71358168
0.702116645;0.676877273
0.736128468;0.715268429
0.722814749;0.698136493
0.725144551;0.708882661
0.728584991;0.715002549
0.718016654;0.697591311
0.728678589;0.717932036
0.590903292;0.71603697
0.384361476;0.468689832
0.577847095;0.693222182
0.556888088;0.660221716
0.553376084;0.682962733
0.542244891;0.663709612
0.551677376;0.679944234
0.550489303;0.659090062
0.507911631;0.619009174
0.578057135;0.713923386
0.740209645;0.791821823
0.719671678;0.781035124
0.732390929;0.780533601
0.7732358;0.836996681
0.761762847;0.806530848
0.763843435;0.817880405
0.788946873;0.840430873
0.74568721;0.789053235
0.746304885;0.796350043
0.795646857;0.847226279
0.831490505;0.842855882
0.829859309;0.846401255
0.8404741;0.853092282
0.861107032;0.862555574
0.824988914;0.839272131
0.830242664;0.849649366
0.832640579;0.848363708
0.843879699;0.857172239
0.835012099;0.847886949
0.812473312;0.835607002
0.535654782;0.674782977
0.484876687;0.631072824
0.577011494;0.695032397
0.51324298;0.642446996
0.552313635;0.679591626
0.531008997;0.629683698
0.550898204;0.699015793
0.537362542;0.682743363
0.497659774;0.633747547
0.501810282;0.639722061
0.731687747;0.713058513
0.729177424;0.711235209
0.736467055;0.714632978
0.725279237;0.709236963
0.718097654;0.697204387
0.722848235;0.704677065
0.718243606;0.692537898
0.711474422;0.682110777
0.710318336;0.690938518
0.727835882;0.715098044
0.573890938;0.709667404
0.562082348;0.690058902
0.532615273;0.664093249
0.538207235;0.681938115
0.49372238;0.608868347
0.467302023;0.565042217
0.517479191;0.6567584
0.568572715;0.716242512
0.525597492;0.671935106
0.557580336;0.695493783
0.743110021;0.797720393
0.732719924;0.788086905
0.742758053;0.788753945
0.779002468;0.831851124
0.737619088;0.790632646
0.716586391;0.765528589
0.753351974;0.807632825
0.753077185;0.822196601
0.735126759;0.802250889
0.769154802;0.816933034
0.829537349;0.8396953
0.841109364;0.851926601
0.822641349;0.836296099
0.832012645;0.846685167
0.833955368;0.848100653
0.815894616;0.833143032
0.84813971;0.855023527
0.790344703;0.81434564
0.84176897;0.853177949
0.826103484;0.841903296
0.52958727;0.672570103
0.509272727;0.574530373
0.575512741;0.680317324
0.50931677;0.639705882
0.552351775;0.679838348
0.50630126;0.629345603
0.522962063;0.679627103
0.540655598;0.664200402
0.563649608;0.679780932
0.53341519;0.646909935
0.735410216;0.714495739
0.731461465;0.697894242
0.739785384;0.719131223
0.729101426;0.713669945
0.730831991;0.717996989
0.737744037;0.718449603
0.72934598;0.712150036
0.73007502;0.707579389
0.734119049;0.706680232
0.717576842;0.698685725
0.588096903;0.731444533
0.386658924;0.486096029
0.549637783;0.688666274
0.547728515;0.689057948
0.564040348;0.723256125
0.583910675;0.729843461
0.530146559;0.691779161
0.506688809;0.636925454
0.542641867;0.721327477
0.545683409;0.695096454
0.736858019;0.793153372
0.714505185;0.776435676
0.749609741;0.805325987
0.771965379;0.830568559
0.776984642;0.830521877
0.782364815;0.843231331
0.730958831;0.792838382
0.7228293;0.784830605
0.757814546;0.824769364
0.769710243;0.821865565
0.829225723;0.839342868
0.826508644;0.84199927
0.821198881;0.835202412
0.829325044;0.846215464
0.807873889;0.830384064
0.840820664;0.850059941
0.819941759;0.84089386
0.816262461;0.832992519
0.835432796;0.847029873
0.832600747;0.844121602
