LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6232693933908425
Amygdala;DICE;STD;0.08476573036903554
Amygdala;HDRFDST;MEAN;9.162265986674853
Amygdala;HDRFDST;STD;3.81482397882538
GreyMatter;DICE;MEAN;0.6992883831251523
GreyMatter;DICE;STD;0.0277537432451615
GreyMatter;HDRFDST;MEAN;3.8747974902225115
GreyMatter;HDRFDST;STD;1.95855671599403
Hippocampus;DICE;MEAN;0.6102603775649215
Hippocampus;DICE;STD;0.07572790694711005
Hippocampus;HDRFDST;MEAN;8.661135784270167
Hippocampus;HDRFDST;STD;4.453619530947249
Thalamus;DICE;MEAN;0.7780322443777791
Thalamus;DICE;STD;0.04338731307870129
Thalamus;HDRFDST;MEAN;9.423350528596664
Thalamus;HDRFDST;STD;5.403745443227038
WhiteMatter;DICE;MEAN;0.8309180126095626
WhiteMatter;DICE;STD;0.017440516718181212
WhiteMatter;HDRFDST;MEAN;2.831219230967513
WhiteMatter;HDRFDST;STD;0.2901683411396311
