SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE;
123925;Hippocampus;0.536034819;13.41640786;;;;;;
123925;Thalamus;0.774969763;14.24780685;;;;;;
123925;WhiteMatter;0.832664385;3;;;;;;
123925-PP;Amygdala;0.552883276;11.5758369;;;;;;
123925-PP;GreyMatter;0.71697843;2;;;;;;
123925-PP;Hippocampus;0.536034819;13.41640786;;;;;;
123925-PP;Thalamus;0.774969763;14.24780685;;;;;;
123925-PP;WhiteMatter;0.832664385;3;;;;;;
124422;Amygdala;0.63960396;11.5758369;;;;;;
124422;GreyMatter;0.713842165;2;;;;;;
124422;Hippocampus;0.567238913;11.87434209;;;;;;
124422;Thalamus;0.795910306;14.56021978;;;;;;
124422;WhiteMatter;0.781634468;3;;;;;;
124422-PP;Amygdala;0.63960396;11.5758369;;;;;;
124422-PP;GreyMatter;0.713842165;2;;;;;;
124422-PP;Hippocampus;0.567238913;11.87434209;;;;;;
124422-PP;Thalamus;0.795910306;14.56021978;;;;;;
124422-PP;WhiteMatter;0.781634468;3;;;;;;
