LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4662207489092121
Amygdala;DICE;STD;0.05335924127697197
Amygdala;HDRFDST;MEAN;17.49612701766835
Amygdala;HDRFDST;STD;1.5282471598585265
GreyMatter;DICE;MEAN;0.7117247928567773
GreyMatter;DICE;STD;0.008351153611794716
GreyMatter;HDRFDST;MEAN;3.0814577428284697
GreyMatter;HDRFDST;STD;0.7447269158305435
Hippocampus;DICE;MEAN;0.3823126557908258
Hippocampus;DICE;STD;0.014286850141112292
Hippocampus;HDRFDST;MEAN;19.180902220284395
Hippocampus;HDRFDST;STD;0.6655749513684823
Thalamus;DICE;MEAN;0.7194164596285332
Thalamus;DICE;STD;0.027057565174152774
Thalamus;HDRFDST;MEAN;9.213506620665074
Thalamus;HDRFDST;STD;1.5528347468294335
WhiteMatter;DICE;MEAN;0.8217197737679015
WhiteMatter;DICE;STD;0.018554657506688003
WhiteMatter;HDRFDST;MEAN;2.6125079233793427
WhiteMatter;HDRFDST;STD;0.3532737610977602
