LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.551671523;;
Amygdala;DICE;STD;0.048797103;;0.682486692
Amygdala;HDRFDST;MEAN;12.47252291;;8.986045442
Amygdala;HDRFDST;STD;1.35505433;;
GreyMatter;DICE;MEAN;0.727455209;;
GreyMatter;DICE;STD;0.007975041;;
GreyMatter;HDRFDST;MEAN;2.151398485;;
GreyMatter;HDRFDST;STD;0.267365968;;
Hippocampus;DICE;MEAN;0.55676841;;
Hippocampus;DICE;STD;0.02063774;;
Hippocampus;HDRFDST;MEAN;13.03455005;;
Hippocampus;HDRFDST;STD;1.00025249;;
Thalamus;DICE;MEAN;0.752272706;;
Thalamus;DICE;STD;0.029968957;;
Thalamus;HDRFDST;MEAN;14.55240724;;
Thalamus;HDRFDST;STD;1.152147387;;
WhiteMatter;DICE;MEAN;0.824265612;;
WhiteMatter;DICE;STD;0.019266258;;
WhiteMatter;HDRFDST;MEAN;2.719348531;;
WhiteMatter;HDRFDST;STD;0.324258491;;
