SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;POST;NOPOST;;;;;;
123117-PP;GreyMatter;0.709920333;2.828427125;;;;;;;;;;;;
123117-PP;Hippocampus;0.577441352;11.22497216;;;;;;;;;;;;
123117-PP;Thalamus;0.741274191;6.403124237;;;;;;;;;;;;
123117-PP;WhiteMatter;0.853700235;2;;;;;;;;;;;;
123925;Amygdala;0.552883276;11.5758369;;;;;;;;;;;;
123925;GreyMatter;0.71697843;2;;;;;;;;;;;;
123925;Hippocampus;0.536034819;13.41640786;;;;;;;;;;;;
123925;Thalamus;0.774969763;14.24780685;;;;;;;;;;;;
123925;WhiteMatter;0.832664385;3;;;;;;;;;;;;
123925-PP;Amygdala;0.582659394;11.35781669;;;;;;;;;;;;
123925-PP;GreyMatter;0.707849185;2.449489743;;;;;;;;;;;;
123925-PP;Hippocampus;0.5907952;10.81665383;;;;;;;;;;;;
123925-PP;Thalamus;0.801106175;5;;;;;;;;;;;;
123925-PP;WhiteMatter;0.83937001;2;;;;;;;;;;;;
124422;Amygdala;0.63960396;11.5758369;;;;;;;;;;;;
124422;GreyMatter;0.713842165;2;;;;;;;;;;;;
124422;Hippocampus;0.567238913;11.87434209;;;;;;;;;;;;
124422;Thalamus;0.795910306;14.56021978;;;;;;;;;;;;
124422;WhiteMatter;0.781634468;3;;;;;;;;;;;;
124422-PP;Amygdala;0.670245832;10.72380529;;;;;;;;;;;;
124422-PP;GreyMatter;0.710819785;2.236067977;;;;;;;;;;;;
124422-PP;Hippocampus;0.619400353;9;;;;;;;;;;;;
124422-PP;Thalamus;0.827601094;5.744562647;;;;;;;;;;;;
124422-PP;WhiteMatter;0.792827979;2;;;;;;;;;;;;
