LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5945239811926346
Amygdala;DICE;STD;0.059180434362414894
Amygdala;HDRFDST;MEAN;10.2284768627934
Amygdala;HDRFDST;STD;1.6365393570886324
GreyMatter;DICE;MEAN;0.7104186440786302
GreyMatter;DICE;STD;0.013634843280889432
GreyMatter;HDRFDST;MEAN;2.8998359646862433
GreyMatter;HDRFDST;STD;0.91703401131703
Hippocampus;DICE;MEAN;0.6096541359393776
Hippocampus;DICE;STD;0.08412427089608907
Hippocampus;HDRFDST;MEAN;8.946182201244003
Hippocampus;HDRFDST;STD;4.496201065582475
Thalamus;DICE;MEAN;0.7863599691223869
Thalamus;DICE;STD;0.03527081982704946
Thalamus;HDRFDST;MEAN;9.232227170487878
Thalamus;HDRFDST;STD;5.250331558340424
WhiteMatter;DICE;MEAN;0.8354513821151567
WhiteMatter;DICE;STD;0.018346807830518973
WhiteMatter;HDRFDST;MEAN;2.396091849394927
WhiteMatter;HDRFDST;STD;0.24237130453747321
