LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.462720312;;
Amygdala;DICE;STD;0.053504071;;0.618256249
Amygdala;HDRFDST;MEAN;17.62543511;;10.70652581
Amygdala;HDRFDST;STD;1.53102487;;
GreyMatter;DICE;MEAN;0.710646956;;
GreyMatter;DICE;STD;0.008335626;;
GreyMatter;HDRFDST;MEAN;3.339433505;;
GreyMatter;HDRFDST;STD;0.669465357;;
Hippocampus;DICE;MEAN;0.3802905;;
Hippocampus;DICE;STD;0.013881877;;
Hippocampus;HDRFDST;MEAN;19.65085476;;
Hippocampus;HDRFDST;STD;0.379350851;;
Thalamus;DICE;MEAN;0.716917102;;
Thalamus;DICE;STD;0.027630945;;
Thalamus;HDRFDST;MEAN;10.21410872;;
Thalamus;HDRFDST;STD;1.473764926;;
WhiteMatter;DICE;MEAN;0.820706373;;
WhiteMatter;DICE;STD;0.018501019;;
WhiteMatter;HDRFDST;MEAN;2.702796969;;
WhiteMatter;HDRFDST;STD;0.308039842;;
