LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5681918113277007
Amygdala;DICE;STD;0.05166454106151717
Amygdala;HDRFDST;MEAN;12.15207225460207
Amygdala;HDRFDST;STD;1.2950443694833609
GreyMatter;DICE;MEAN;0.7139451920242885
GreyMatter;DICE;STD;0.01384177455739898
GreyMatter;HDRFDST;MEAN;2.490262635484475
GreyMatter;HDRFDST;STD;0.4456366303502413
Hippocampus;DICE;MEAN;0.5617666536913213
Hippocampus;DICE;STD;0.033572544484957244
Hippocampus;HDRFDST;MEAN;11.406710623204408
Hippocampus;HDRFDST;STD;2.118242846907716
Thalamus;DICE;MEAN;0.7576383238670272
Thalamus;DICE;STD;0.03250247264861914
Thalamus;HDRFDST;MEAN;11.14775450147805
Thalamus;HDRFDST;STD;4.4303012961621375
WhiteMatter;DICE;MEAN;0.8282801764809239
WhiteMatter;DICE;STD;0.018267678599725185
WhiteMatter;HDRFDST;MEAN;2.3714776642118864
WhiteMatter;HDRFDST;STD;0.419635184587917
