LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5487545387306063
Amygdala;DICE;STD;0.048563271329927556
Amygdala;HDRFDST;MEAN;12.29210461002346
Amygdala;HDRFDST;STD;1.3799145829507062
GreyMatter;DICE;MEAN;0.7244058004187051
GreyMatter;DICE;STD;0.008004666174100224
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.539603035816973
Hippocampus;DICE;STD;0.02074426141110077
Hippocampus;HDRFDST;MEAN;13.241184229732946
Hippocampus;HDRFDST;STD;0.9854137173144644
Thalamus;DICE;MEAN;0.7524187565433599
Thalamus;DICE;STD;0.03040796841690722
Thalamus;HDRFDST;MEAN;14.449346178585511
Thalamus;HDRFDST;STD;1.310112594930784
WhiteMatter;DICE;MEAN;0.8255627176616294
WhiteMatter;DICE;STD;0.019082535455359432
WhiteMatter;HDRFDST;MEAN;2.6406907072021326
WhiteMatter;HDRFDST;STD;0.35602329824928575
