LABEL;METRIC;STATISTIC;VALUE
<<<<<<< HEAD
Amygdala;DICE;MEAN;0.5780462127521858
Amygdala;DICE;STD;0.055583188363889216
Amygdala;HDRFDST;MEAN;11.853511910303762
Amygdala;HDRFDST;STD;1.4297745949228673
GreyMatter;DICE;MEAN;0.7282344105677879
GreyMatter;DICE;STD;0.008113605816840804
GreyMatter;HDRFDST;MEAN;2.1618506524173933
GreyMatter;HDRFDST;STD;0.16248617369639173
Hippocampus;DICE;MEAN;0.5701941525867498
Hippocampus;DICE;STD;0.038929266162937425
Hippocampus;HDRFDST;MEAN;11.224480740941157
Hippocampus;HDRFDST;STD;2.2273374455257184
Thalamus;DICE;MEAN;0.7630971877277734
Thalamus;DICE;STD;0.03510179366114669
Thalamus;HDRFDST;MEAN;11.397713961219443
Thalamus;HDRFDST;STD;4.1883309871861085
WhiteMatter;DICE;MEAN;0.8309959484803782
WhiteMatter;DICE;STD;0.019353559752989708
WhiteMatter;HDRFDST;MEAN;2.2291195181899597
WhiteMatter;HDRFDST;STD;0.5753487408733605
=======
Amygdala;DICE;MEAN;0.5312580564008939
Amygdala;DICE;STD;0.045506483975440465
Amygdala;HDRFDST;MEAN;12.369506391690203
Amygdala;HDRFDST;STD;1.3767031727773458
GreyMatter;DICE;MEAN;0.7274835660845574
GreyMatter;DICE;STD;0.008097565390704808
GreyMatter;HDRFDST;MEAN;2.151398484502916
GreyMatter;HDRFDST;STD;0.26736596806354623
Hippocampus;DICE;MEAN;0.5451615744780364
Hippocampus;DICE;STD;0.018284272008845984
Hippocampus;HDRFDST;MEAN;13.365365061706575
Hippocampus;HDRFDST;STD;1.0329650368299992
Thalamus;DICE;MEAN;0.7532552202936051
Thalamus;DICE;STD;0.029408127602776755
Thalamus;HDRFDST;MEAN;17.135705680067463
Thalamus;HDRFDST;STD;0.9314455679768315
WhiteMatter;DICE;MEAN;0.8254909779630409
WhiteMatter;DICE;STD;0.019467924455225046
WhiteMatter;HDRFDST;MEAN;2.6319971335450925
WhiteMatter;HDRFDST;STD;0.4154408369556557
>>>>>>> origin/main
