LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0;;
Amygdala;DICE;STD;0;;0.294794457
Amygdala;HDRFDST;MEAN;inf;;5.40268254
Amygdala;HDRFDST;STD;nan;;
GreyMatter;DICE;MEAN;0.67487999;;
GreyMatter;DICE;STD;0.009296886;;
GreyMatter;HDRFDST;MEAN;7.576707205;;
GreyMatter;HDRFDST;STD;0.702501195;;
Hippocampus;DICE;MEAN;0;;
Hippocampus;DICE;STD;0;;
Hippocampus;HDRFDST;MEAN;inf;;
Hippocampus;HDRFDST;STD;nan;;
Thalamus;DICE;MEAN;0;;
Thalamus;DICE;STD;0;;
Thalamus;HDRFDST;MEAN;inf;;
Thalamus;HDRFDST;STD;nan;;
WhiteMatter;DICE;MEAN;0.799092297;;
WhiteMatter;DICE;STD;0.019548106;;
WhiteMatter;HDRFDST;MEAN;3.228657876;;
WhiteMatter;HDRFDST;STD;0.525136478;;
