SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Amygdala-PP;GreyMatter;GreyMatter-PP;Hippocampus;Hippocampus-PP;Thalamus;Thalamus-PP;WhiteMatter;WhiteMatter-PP
114419;Thalamus;0.735650497;16.1245155;;;;;;;;;;;;
114419;WhiteMatter;0.861534563;2.828427125;;;;;;;;;;;;
114419-PP;Amygdala;0.647429069;7.348469228;;;;;;;;;;;;
114419-PP;GreyMatter;0.692031243;3.605551275;;;;;;;;;;;;
114419-PP;Hippocampus;0.580826627;6.403124237;;;;;;;;;;;;
114419-PP;Thalamus;0.779013173;4.582575695;;;;;;;;;;;;
114419-PP;WhiteMatter;0.866023276;2.449489743;;;;;;;;;;;;
115320;Amygdala;0.507789318;12.08304597;;;;;;;;;;;;
115320;GreyMatter;0.728781776;2;;;;;;;;;;;;
115320;Hippocampus;0.583366103;13.41640786;;;;;;;;;;;;
115320;Thalamus;0.77957726;15.16575089;;;;;;;;;;;;
115320;WhiteMatter;0.824647428;2.449489743;;;;;;;;;;;;
115320-PP;Amygdala;0.622282;10.44030651;;;;;;;;;;;;
115320-PP;GreyMatter;0.713293925;3.16227766;;;;;;;;;;;;
115320-PP;Hippocampus;0.720739053;3.605551275;;;;;;;;;;;;
115320-PP;Thalamus;0.82174095;3.31662479;;;;;;;;;;;;
115320-PP;WhiteMatter;0.839504079;2;;;;;;;;;;;;
116524;Amygdala;0.535128909;11.09053651;;;;;;;;;;;;
116524;GreyMatter;0.72674022;2;;;;;;;;;;;;
116524;Hippocampus;0.537684343;12.20655562;;;;;;;;;;;;
116524;Thalamus;0.736709883;16.91153453;;;;;;;;;;;;
116524;WhiteMatter;0.819660293;2.828427125;;;;;;;;;;;;
116524-PP;Amygdala;0.648771022;9.486832981;;;;;;;;;;;;
116524-PP;GreyMatter;0.708174709;3.605551275;;;;;;;;;;;;
116524-PP;Hippocampus;0.687394145;4.242640687;;;;;;;;;;;;
116524-PP;Thalamus;0.795235559;4.242640687;;;;;;;;;;;;
116524-PP;WhiteMatter;0.839993296;2.236067977;;;;;;;;;;;;
