LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.467071043;;
Amygdala;DICE;STD;0.052748987;;0.618264554
Amygdala;HDRFDST;MEAN;17.87154164;;10.21081322
Amygdala;HDRFDST;STD;1.485933801;;
GreyMatter;DICE;MEAN;0.711530352;;
GreyMatter;DICE;STD;0.008448362;;
GreyMatter;HDRFDST;MEAN;3.149473652;;
GreyMatter;HDRFDST;STD;0.693408766;;
Hippocampus;DICE;MEAN;0.378084863;;
Hippocampus;DICE;STD;0.013387822;;
Hippocampus;HDRFDST;MEAN;19.43138792;;
Hippocampus;HDRFDST;STD;0.470280239;;
Thalamus;DICE;MEAN;0.713596183;;
Thalamus;DICE;STD;0.027655115;;
Thalamus;HDRFDST;MEAN;8.036759654;;
Thalamus;HDRFDST;STD;0.900274552;;
WhiteMatter;DICE;MEAN;0.821040327;;
WhiteMatter;DICE;STD;0.018954487;;
WhiteMatter;HDRFDST;MEAN;2.564903231;;
WhiteMatter;HDRFDST;STD;0.348240458;;
