LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.562105755085539
Amygdala;DICE;STD;0.050814132732226625
Amygdala;HDRFDST;MEAN;12.206860499363852
Amygdala;HDRFDST;STD;1.261965431012468
GreyMatter;DICE;MEAN;0.7114898361010729
GreyMatter;DICE;STD;0.015948454421969023
GreyMatter;HDRFDST;MEAN;2.509512367511335
GreyMatter;HDRFDST;STD;0.44983072072464725
Hippocampus;DICE;MEAN;0.5547548189285493
Hippocampus;DICE;STD;0.029128256594400218
Hippocampus;HDRFDST;MEAN;11.674489287058794
Hippocampus;HDRFDST;STD;1.8858154433425904
Thalamus;DICE;MEAN;0.7516683483557406
Thalamus;DICE;STD;0.03188038987912186
Thalamus;HDRFDST;MEAN;12.02038738354196
Thalamus;HDRFDST;STD;3.789496952048552
WhiteMatter;DICE;MEAN;0.8274087763226307
WhiteMatter;DICE;STD;0.01815377580701584
WhiteMatter;HDRFDST;MEAN;2.406887860836855
WhiteMatter;HDRFDST;STD;0.39609446519257063
