LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0;;
Amygdala;DICE;STD;0;;0.090607292
Amygdala;HDRFDST;MEAN;inf;;9.960767004
Amygdala;HDRFDST;STD;nan;;
GreyMatter;DICE;MEAN;0;;
GreyMatter;DICE;STD;0;;
GreyMatter;HDRFDST;MEAN;inf;;
GreyMatter;HDRFDST;STD;nan;;
Hippocampus;DICE;MEAN;0;;
Hippocampus;DICE;STD;0;;
Hippocampus;HDRFDST;MEAN;inf;;
Hippocampus;HDRFDST;STD;nan;;
Thalamus;DICE;MEAN;0;;
Thalamus;DICE;STD;0;;
Thalamus;HDRFDST;MEAN;inf;;
Thalamus;HDRFDST;STD;nan;;
WhiteMatter;DICE;MEAN;0.453036459;;
WhiteMatter;DICE;STD;0.022371681;;
WhiteMatter;HDRFDST;MEAN;9.960767004;;
WhiteMatter;HDRFDST;STD;0.695068839;;
