depth konst.;10;;;;;;
;;;;;;;
;;;;;;;
estimators;1;2;5;10;20;50;100
DICE;0.598684246;0.605940166;0.613891804;0.618256249;0.618315119;0.618264554;0.619078745
HRS;15.01647387;17.48346507;11.88461035;10.70652581;10.62143896;10.21081322;10.17405875
;;;;;;;
;;;;;;;
estikonst:;20;;;;;;
depth;1;2;5;10;20;50;100
DICE;0.090607292;0.294794457;0.366511281;0.618315119;0.67789637;0.682486692;0.682486692
HRS;50;50;22.8762013;10.62143896;9.004471228;8.986045442;8.986045442
