LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.469642661;;
Amygdala;DICE;STD;0.052216916;;0.619078745
Amygdala;HDRFDST;MEAN;17.91367195;;10.17405875
Amygdala;HDRFDST;STD;1.483360093;;
GreyMatter;DICE;MEAN;0.711460865;;
GreyMatter;DICE;STD;0.008426776;;
GreyMatter;HDRFDST;MEAN;3.065311832;;
GreyMatter;HDRFDST;STD;0.70983334;;
Hippocampus;DICE;MEAN;0.378497068;;
Hippocampus;DICE;STD;0.013718491;;
Hippocampus;HDRFDST;MEAN;19.34776318;;
Hippocampus;HDRFDST;STD;0.513867714;;
Thalamus;DICE;MEAN;0.714633031;;
Thalamus;DICE;STD;0.027389132;;
Thalamus;HDRFDST;MEAN;7.978643535;;
Thalamus;HDRFDST;STD;0.860957228;;
WhiteMatter;DICE;MEAN;0.8211601;;
WhiteMatter;DICE;STD;0.019018638;;
WhiteMatter;HDRFDST;MEAN;2.564903231;;
WhiteMatter;HDRFDST;STD;0.348240458;;
