LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0;;
Amygdala;DICE;STD;0;;0.366511281
Amygdala;HDRFDST;MEAN;inf;;22.8762013
Amygdala;HDRFDST;STD;nan;;
GreyMatter;DICE;MEAN;0.666223488;;
GreyMatter;DICE;STD;0.008569717;;
GreyMatter;HDRFDST;MEAN;5.999013519;;
GreyMatter;HDRFDST;STD;0.843704212;;
Hippocampus;DICE;MEAN;0.134847223;;
Hippocampus;DICE;STD;0.006898736;;
Hippocampus;HDRFDST;MEAN;33.38246289;;
Hippocampus;HDRFDST;STD;1.100532425;;
Thalamus;DICE;MEAN;0.233871708;;
Thalamus;DICE;STD;0.013094079;;
Thalamus;HDRFDST;MEAN;43.12907569;;
Thalamus;HDRFDST;STD;1.13262094;;
WhiteMatter;DICE;MEAN;0.797613986;;
WhiteMatter;DICE;STD;0.019304357;;
WhiteMatter;HDRFDST;MEAN;8.994253114;;
WhiteMatter;HDRFDST;STD;0.058403053;;
