LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.456763791;;
Amygdala;DICE;STD;0.052480264;;0.613891804
Amygdala;HDRFDST;MEAN;19.77869393;;11.88461035
Amygdala;HDRFDST;STD;1.342857486;;
GreyMatter;DICE;MEAN;0.70995819;;
GreyMatter;DICE;STD;0.008284884;;
GreyMatter;HDRFDST;MEAN;3.212237184;;
GreyMatter;HDRFDST;STD;0.693925263;;
Hippocampus;DICE;MEAN;0.383907413;;
Hippocampus;DICE;STD;0.014144105;;
Hippocampus;HDRFDST;MEAN;17.36701366;;
Hippocampus;HDRFDST;STD;0.53557119;;
Thalamus;DICE;MEAN;0.697342353;;
Thalamus;DICE;STD;0.025680827;;
Thalamus;HDRFDST;MEAN;16.36231;;
Thalamus;HDRFDST;STD;0.987325362;;
WhiteMatter;DICE;MEAN;0.821487271;;
WhiteMatter;DICE;STD;0.018308311;;
WhiteMatter;HDRFDST;MEAN;2.702796969;;
WhiteMatter;HDRFDST;STD;0.308039842;;
