LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5527125769896124
Amygdala;DICE;STD;0.049853375524111766
Amygdala;HDRFDST;MEAN;12.412949875576787
Amygdala;HDRFDST;STD;1.2722717423641199
GreyMatter;DICE;MEAN;0.7254829548730332
GreyMatter;DICE;STD;0.008034442371809811
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5389688345683508
Hippocampus;DICE;STD;0.020776841629615617
Hippocampus;HDRFDST;MEAN;13.052354422573506
Hippocampus;HDRFDST;STD;0.9674936834552652
Thalamus;DICE;MEAN;0.7473424385042462
Thalamus;DICE;STD;0.03084673736718648
Thalamus;HDRFDST;MEAN;14.745540742749919
Thalamus;HDRFDST;STD;1.0812160764168144
WhiteMatter;DICE;MEAN;0.8249750427971095
WhiteMatter;DICE;STD;0.019111402194333542
WhiteMatter;HDRFDST;MEAN;2.719348530673794
WhiteMatter;HDRFDST;STD;0.3242584905939673
