LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5469268072966668
Amygdala;DICE;STD;0.04846335058902194
Amygdala;HDRFDST;MEAN;12.323551884293462
Amygdala;HDRFDST;STD;1.4248048831777134
GreyMatter;DICE;MEAN;0.7255214683286362
GreyMatter;DICE;STD;0.008000133309791154
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5520533750275783
Hippocampus;DICE;STD;0.020775768287975945
Hippocampus;HDRFDST;MEAN;13.185689362178133
Hippocampus;HDRFDST;STD;1.018624584497345
Thalamus;DICE;MEAN;0.7539704349108254
Thalamus;DICE;STD;0.02968282350757451
Thalamus;HDRFDST;MEAN;14.560541143037076
Thalamus;HDRFDST;STD;1.261206415272499
WhiteMatter;DICE;MEAN;0.8259397366914752
WhiteMatter;DICE;STD;0.019167605156907793
WhiteMatter;HDRFDST;MEAN;2.5649032308095303
WhiteMatter;HDRFDST;STD;0.3482404579925098
