LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.469121309;;
Amygdala;DICE;STD;0.056002717;;0.605940166
Amygdala;HDRFDST;MEAN;22.97398045;;17.48346507
Amygdala;HDRFDST;STD;1.412877346;;
GreyMatter;DICE;MEAN;0.711101643;;
GreyMatter;DICE;STD;0.008450325;;
GreyMatter;HDRFDST;MEAN;3.111685884;;
GreyMatter;HDRFDST;STD;0.646073493;;
Hippocampus;DICE;MEAN;0.358685536;;
Hippocampus;DICE;STD;0.0123333;;
Hippocampus;HDRFDST;MEAN;24.50126385;;
Hippocampus;HDRFDST;STD;2.277733441;;
Thalamus;DICE;MEAN;0.671026035;;
Thalamus;DICE;STD;0.026944174;;
Thalamus;HDRFDST;MEAN;33.83057476;;
Thalamus;HDRFDST;STD;2.234325694;;
WhiteMatter;DICE;MEAN;0.819766307;;
WhiteMatter;DICE;STD;0.018416763;;
WhiteMatter;HDRFDST;MEAN;2.999820395;;
WhiteMatter;HDRFDST;STD;0.317927029;;
